"Severity","Freq","Map_ID"
"3",1497,11084
"4",1214,11084
"5",13,11084
"0",250,10019486
"1",2502,10019486
"2",14979,10019486
"3",8343,10019486
"4",281,10019486
"0",94,11087
"1",985,11087
"2",3315,11087
"3",2237,11087
"4",195,11087
"5",328,11087
"0",338,11468
"1",4386,11468
"2",13027,11468
"3",17877,11468
"4",18460,11468
"5",213,11468
"0",1240,11082
"1",72095,11082
"2",88562,11082
"3",107383,11082
"4",76281,11082
"5",73,11082
"0",229,11475
"1",2786,11475
"2",2920,11475
"3",3835,11475
"4",4873,11475
"5",1,11475
"0",241,11647
"1",3943,11647
"2",7169,11647
"3",9731,11647
"4",6518,11647
"0",86,11288
"1",2139,11288
"2",535,11288
"3",157,11288
"4",40,11288
"5",3212,11288
"0",213,11289
"1",2671,11289
"2",1962,11289
"3",63,11289
"5",112,11289
"0",973,11284
"1",14155,11284
"2",15426,11284
"3",8519,11284
"4",2555,11284
"5",267,11284
"0",186,10006194
"1",8670,10006194
"2",11588,10006194
"3",3176,10006194
"5",540,10006194
"0",113,11086
"1",2887,11086
"2",3828,11086
"3",2621,11086
"4",90,11086
"5",184,11086
"0",164,12053
"1",550,12053
"2",2513,12053
"3",7447,12053
"4",1345,12053
"0",107,11857
"1",1851,11857
"2",3520,11857
"3",285,11857
"0",1635,11858
"1",45850,11858
"2",122371,11858
"3",111807,11858
"4",25470,11858
"5",33,11858
"0",126,11995
"1",547,11995
"2",4117,11995
"3",2879,11995
"5",9,11995
"0",249,11996
"1",332,11996
"2",1300,11996
"3",1551,11996
"4",1603,11996
"5",51,11996
"6",1,11996
"0",169,12103
"1",1560,12103
"2",6738,12103
"5",44,12103
"0",215,12057
"1",5866,12057
"2",16314,12057
"3",48,12057
"5",5,12057
"0",166,12058
"1",2985,12058
"2",4799,12058
"3",225,12058
"4",34,12058
"0",337,11854
"1",2233,11854
"2",21733,11854
"3",1270,11854
"4",47,11854
"5",115,11854
"0",210,11997
"1",1143,11997
"2",1353,11997
"3",3934,11997
"4",4193,11997
"5",27,11997
"0",189,12066
"1",5051,12066
"2",4978,12066
"3",5685,12066
"4",3206,12066
"5",11,12066
"0",195,12063
"1",5683,12063
"2",5065,12063
"3",5163,12063
"4",2938,12063
"5",114,12063
"0",138,12060
"1",6120,12060
"2",6014,12060
"3",2208,12060
"4",38,12060
"5",16,12060
"0",542,12059
"1",48206,12059
"2",48044,12059
"3",30278,12059
"4",11193,12059
"5",832,12059
"6",858,12059
"0",114,11855
"1",693,11855
"2",4116,11855
"3",278,11855
"0",230,11856
"1",4085,11856
"2",8665,11856
"3",6705,11856
"4",1648,11856
"5",1,11856
"0",339,11998
"1",4428,11998
"2",10048,11998
"3",11422,11998
"4",12564,11998
"5",46,11998
"0",100,11999
"1",678,11999
"2",2044,11999
"3",2632,11999
"4",2251,11999
"5",8,11999
"0",91,12054
"1",973,12054
"2",3352,12054
"3",1326,12054
"4",121,12054
"5",16,12054
"0",449,12056
"1",23364,12056
"2",35924,12056
"3",32255,12056
"4",22584,12056
"5",321,12056
"0",236,12055
"1",14284,12055
"2",15141,12055
"3",6717,12055
"4",3413,12055
"5",7,12055
"0",186,11852
"1",2183,11852
"2",3877,11852
"3",4354,11852
"4",3620,11852
"5",8,11852
"0",251,11853
"1",2583,11853
"2",6376,11853
"3",10076,11853
"4",4949,11853
"5",8,11853
"0",157,12046
"1",2292,12046
"2",5156,12046
"3",10120,12046
"4",7787,12046
"5",12,12046
"0",547,12052
"1",11795,12052
"2",17619,12052
"3",17283,12052
"4",29754,12052
"5",24,12052
"0",131,12069
"1",1096,12069
"2",1539,12069
"3",2609,12069
"4",5695,12069
"5",11,12069
"0",455,12067
"1",6853,12067
"2",12323,12067
"3",16080,12067
"4",9492,12067
"5",13,12067
"0",430,12068
"1",13178,12068
"2",21794,12068
"3",18350,12068
"4",13512,12068
"5",11,12068
"0",114,12064
"1",1075,12064
"2",1926,12064
"3",2543,12064
"4",2525,12064
"5",2,12064
"0",89,12065
"1",670,12065
"2",2347,12065
"3",1188,12065
"4",1262,12065
"5",3,12065
"0",83,10005758
"1",2019,10005758
"2",3362,10005758
"3",415,10005758
"4",116,10005758
"5",25,10005758
"0",112,11994
"1",2176,11994
"2",2144,11994
"3",1436,11994
"4",387,11994
"5",6,11994
"0",160,12194
"1",5297,12194
"2",1708,12194
"3",1084,12194
"4",567,12194
"5",134,12194
"0",307,12195
"1",25373,12195
"2",8673,12195
"3",4344,12195
"4",3216,12195
"5",88,12195
"0",95,12000
"1",950,12000
"2",6693,12000
"3",653,12000
"4",5,12000
"0",99,12001
"1",109,12001
"2",1096,12001
"3",4275,12001
"4",1466,12001
"5",2,12001
"0",153,12002
"1",87,12002
"2",477,12002
"3",4164,12002
"4",3829,12002
"5",1,12002
"0",225,12104
"1",9414,12104
"2",4013,12104
"3",2942,12104
"4",512,12104
"5",75,12104
"0",456,12105
"1",15174,12105
"2",24365,12105
"3",9737,12105
"4",620,12105
"5",111,12105
"0",77,10002132
"1",1045,10002132
"2",4562,10002132
"0",84,10002133
"1",604,10002133
"2",6072,10002133
"0",146,12634
"1",740,12634
"2",1544,12634
"3",6767,12634
"4",2739,12634
